Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Temperature,Humidity,MonthlyHours,TariffRate,ElectricityBill,Predicted_ElectricityBill
14,22,3,20,1,0,10.41,81.4,742,7.6,5639.2,35841900.0
16,23,1,22,12,0,10.39,81.5,768,9.3,7142.4,35841900.0
10,19,0,10,1,0,10.16,81.9,503,8.7,4376.1,32492296.0
7,17,1,18,7,0,9.97,82.8,536,9.3,4984.8,35841900.0
9,19,1,12,1,0,10.03,83.8,472,7.4,3492.8,25901996.0
15,22,1,19,1,0,9.98,83.0,634,7.6,4818.4,35827820.0
15,23,2,8,1,0,9.74,82.8,384,8.4,3225.6,23909018.0
12,22,2,11,1,0,9.54,83.7,438,8.5,3723.0,27485672.0
14,22,1,10,12,0,9.53,83.9,701,8.1,5678.1,35841900.0
15,22,2,16,1,0,9.56,84.1,462,8.3,3834.6,28247460.0
9,23,2,7,1,0,9.58,84.5,601,7.9,4747.9,35267200.0
19,22,0,10,1,0,9.44,84.1,408,7.4,3019.2,22213304.0
12,22,2,6,1,0,9.4,84.4,463,8.4,3889.2,28714474.0
6,23,2,19,7,0,9.38,84.6,602,8.4,5056.8,35841900.0
23,22,0,12,1,0,9.16,84.7,635,7.7,4889.5,35841900.0
23,23,0,22,1,0,9.06,85.6,563,7.7,4335.1,31963588.0
18,23,3,12,1,0,9.17,85.8,726,8.9,6461.4,35841900.0
7,20,1,16,1,0,9.46,86.2,412,8.8,3625.6,26877926.0
7,21,3,22,1,0,9.74,85.4,675,7.9,5332.5,35841900.0
11,22,2,13,1,0,9.8,84.4,385,9.2,3542.0,26485368.0
13,22,0,21,12,0,9.58,83.9,744,7.6,5654.4,35841900.0
13,22,1,18,1,0,9.51,83.7,410,7.8,3198.0,23562782.0
13,23,2,14,12,0,9.44,83.2,591,7.6,4491.6,33448388.0
7,23,1,14,1,0,9.18,82.5,521,8.8,4584.8,34043760.0
18,23,2,10,1,0,8.96,83.4,596,8.8,5244.8,35841900.0
22,23,2,4,1,0,8.71,83.9,415,8.3,3444.5,25418676.0
16,23,0,8,1,0,8.52,85.1,503,7.8,3923.4,28872066.0
7,17,3,17,1,0,8.43,85.4,526,7.9,4155.4,30751218.0
13,22,0,12,1,0,8.44,85.9,377,8.9,3355.3,24855574.0
14,22,2,6,1,0,8.69,86.7,376,8.8,3308.8,24634694.0
17,23,3,21,1,0,9.02,86.7,724,8.9,6443.6,35841900.0
11,22,2,12,12,0,9.17,86.9,707,8.1,5726.7,35841900.0
11,23,0,4,1,0,10.48,87.0,365,8.7,3175.5,23512250.0
5,19,2,8,1,0,11.13,83.5,308,8.3,2556.4,18976002.0
16,23,3,5,1,0,11.68,81.7,543,8.7,4724.1,35106210.0
6,22,1,9,1,0,12.22,78.0,355,8.3,2946.5,21885542.0
6,21,2,4,7,0,12.61,74.8,502,7.8,3915.6,29084906.0
5,19,2,16,1,0,13.07,72.7,455,8.3,3776.5,27890296.0
9,19,0,13,7,0,13.61,70.2,543,7.9,4289.7,31827326.0
12,23,1,7,1,0,14.0,69.22,461,8.1,3734.1,27470762.0
8,17,1,8,1,0,14.55,64.11,412,8.8,3625.6,26908448.0
15,22,3,16,12,0,14.94,58.46,633,8.4,5317.2,35841900.0
6,19,2,15,1,0,15.08,57.23,480,9.1,4368.0,32528660.0
9,17,0,11,7,0,15.18,55.83,348,8.7,3027.6,22671538.0
20,22,2,6,1,0,15.28,56.49,623,7.8,4859.4,35841900.0
12,22,3,9,1,0,15.27,55.93,465,8.3,3859.5,28498498.0
5,18,0,14,1,0,15.21,55.69,371,8.3,3079.3,22777650.0
21,22,1,12,1,0,15.18,57.2,561,7.9,4431.9,32816514.0
20,22,2,9,1,0,15.11,57.86,673,8.8,5922.4,35841900.0
7,18,1,15,1,0,15.1,58.33,535,7.4,3959.0,29382134.0
12,22,3,6,12,0,15.26,58.8,513,9.1,4668.3,35016028.0
8,17,1,4,7,0,15.15,60.87,460,7.9,3634.0,27075764.0
20,23,2,12,1,0,15.23,60.53,483,8.2,3960.6,29130848.0
7,17,2,10,1,0,15.22,60.2,370,8.4,3108.0,23122326.0
11,23,3,18,1,0,15.22,59.83,678,8.4,5695.2,35841900.0
7,23,0,19,1,0,15.33,59.16,459,7.7,3534.3,25991356.0
22,23,3,19,12,0,15.41,58.13,717,7.6,5449.2,35841900.0
21,22,2,15,1,0,15.43,58.0,617,8.8,5429.6,35841900.0
5,22,3,9,1,0,15.56,56.03,488,9.3,4538.4,33882548.0
22,22,2,20,1,0,15.59,55.73,614,7.9,4850.6,35841900.0
21,23,3,13,1,0,15.47,56.29,556,7.4,4114.4,30412220.0
6,18,0,9,1,0,15.55,55.99,301,8.7,2618.7,19462600.0
9,20,2,19,1,0,15.57,56.53,569,9.1,5177.9,35841900.0
9,21,3,22,1,0,15.64,55.35,527,8.8,4637.6,34433400.0
16,22,1,3,1,0,15.59,55.76,322,7.8,2511.6,18347132.0
16,23,1,21,1,0,15.58,57.03,712,7.6,5411.2,35841900.0
6,18,0,17,1,0,15.49,57.19,442,8.2,3624.4,26768902.0
19,23,1,17,12,0,15.45,57.86,509,8.2,4173.8,30934220.0
11,23,3,20,1,0,15.36,57.72,648,8.9,5767.2,35841900.0
11,22,2,14,1,0,15.38,58.02,394,8.8,3467.2,25721968.0
15,22,2,14,1,0,15.37,58.59,487,9.2,4480.4,33394322.0
21,23,2,5,1,0,15.23,59.76,417,8.4,3502.8,25843944.0
10,23,2,19,1,0,15.23,61.12,504,8.3,4183.2,30782258.0
11,22,3,4,1,0,15.24,61.63,503,8.7,4376.1,32396752.0
22,22,3,4,1,0,15.19,61.72,503,7.8,3923.4,28946714.0
15,22,2,10,12,0,15.17,61.76,514,8.5,4369.0,32452230.0
23,23,2,20,1,0,15.22,59.95,741,7.6,5631.6,35841900.0
21,23,1,8,1,0,15.17,61.92,407,7.8,3174.6,23342864.0
13,23,3,17,1,0,15.02,62.32,522,9.1,4750.2,35422410.0
18,22,2,14,1,0,14.9,61.82,506,7.6,3845.6,28356074.0
13,22,1,3,1,0,14.81,61.79,420,8.8,3696.0,27317380.0
22,23,0,15,12,0,14.68,62.05,735,7.4,5439.0,35841900.0
13,23,2,21,12,0,14.54,64.02,577,9.1,5250.7,35841900.0
15,22,1,14,1,0,14.38,64.55,397,9.1,3612.7,26827904.0
21,23,3,12,1,0,14.23,65.55,640,9.2,5888.0,35841900.0
13,23,2,9,1,0,14.11,65.79,395,8.9,3515.5,26118098.0
20,22,3,7,12,0,14.03,66.72,626,7.6,4757.6,35640164.0
14,23,1,13,12,0,13.95,67.52,749,7.4,5542.6,35841900.0
8,20,3,13,7,0,13.87,68.59,594,8.4,4989.6,35841900.0
7,17,2,16,7,0,13.74,69.46,570,8.9,5073.0,35841900.0
23,22,1,16,12,0,13.55,69.9,719,9.2,6614.8,35841900.0
12,23,1,5,1,0,13.43,69.86,468,9.2,4305.6,32049072.0
18,23,1,11,1,0,13.35,69.86,589,8.2,4829.8,35795412.0
23,23,3,13,1,0,13.2,70.5,689,7.6,5236.4,35841900.0
12,23,3,17,12,0,13.42,68.89,802,9.1,7298.2,35841900.0
11,22,2,20,1,0,13.55,68.12,650,9.1,5915.0,35841900.0
17,22,0,10,1,0,13.42,68.52,308,8.4,2587.2,19143838.0
21,23,3,19,1,0,13.3,69.03,743,8.3,6166.9,35841900.0
15,23,0,17,1,0,13.33,68.72,528,8.8,4646.4,34595980.0
8,22,3,11,1,0,13.45,68.59,600,7.8,4680.0,34778468.0
14,22,0,6,1,0,13.47,66.99,512,8.8,4505.6,33492936.0
18,22,2,7,1,0,13.29,66.99,491,8.5,4173.5,30826070.0
22,22,1,11,1,0,13.15,66.42,486,8.8,4276.8,31654086.0
8,23,0,5,1,0,13.03,66.62,267,8.3,2216.1,16073330.0
7,20,1,11,1,0,12.93,67.29,299,8.7,2601.3,19457882.0
23,22,1,10,1,0,12.88,67.46,449,8.7,3906.3,28803518.0
11,23,0,9,12,0,12.86,67.76,602,8.7,5237.4,35841900.0
12,23,2,20,12,0,12.87,67.96,713,9.3,6630.9,35841900.0
17,23,1,20,1,0,12.92,68.52,626,8.7,5446.2,35841900.0
9,17,3,5,7,0,12.96,68.62,383,8.5,3255.5,24441426.0
12,22,0,3,1,0,12.88,69.33,246,8.3,2041.8,14568026.0
19,23,2,4,1,0,12.77,69.86,564,8.9,5019.6,35841900.0
19,22,3,14,1,0,12.82,70.1,527,8.2,4321.4,31825786.0
15,23,3,19,1,0,12.75,70.4,515,9.1,4686.5,34943756.0
8,18,3,19,1,0,12.54,71.5,424,7.4,3137.6,23312748.0
11,22,3,14,1,0,12.23,72.9,427,7.4,3159.8,23398774.0
17,23,1,9,1,0,12.19,72.8,568,8.8,4998.4,35841900.0
14,22,2,14,1,0,12.31,72.6,647,9.3,6017.1,35841900.0
18,22,2,15,1,0,12.08,74.0,474,7.8,3697.2,27203602.0
21,23,3,7,1,0,12.16,74.0,485,7.8,3783.0,27848460.0
23,22,2,4,1,0,12.07,74.1,426,9.3,3961.8,29502840.0
7,20,0,5,1,0,11.48,76.8,192,8.2,1574.4,11191238.0
13,22,0,5,1,0,11.45,77.7,408,7.8,3182.4,23418096.0
22,23,0,21,1,0,11.8,76.6,717,9.1,6524.7,35841900.0
6,23,0,10,7,0,12.23,75.1,576,8.9,5126.4,35841900.0
23,23,1,13,1,0,12.39,71.0,662,8.1,5362.2,35841900.0
15,22,0,8,1,0,12.42,71.4,403,7.8,3143.4,23121384.0
22,23,0,15,1,0,12.4,71.5,691,8.2,5666.2,35841900.0
17,22,0,16,12,0,11.84,73.4,518,8.8,4558.4,34045676.0
5,20,0,8,1,0,11.51,73.0,311,9.1,2830.1,21286092.0
10,18,3,9,1,0,11.35,73.6,369,8.2,3025.8,22562330.0
14,23,0,19,1,0,11.27,73.8,585,8.2,4797.0,35669764.0
20,23,2,12,1,0,11.33,74.5,615,8.5,5227.5,35841900.0
20,22,3,3,12,0,11.44,75.0,496,7.8,3868.8,28802394.0
7,19,3,5,1,0,12.26,75.5,470,7.4,3478.0,25936336.0
21,22,2,3,1,0,13.08,70.9,601,9.2,5529.2,35841900.0
14,23,1,19,1,0,12.78,71.8,608,8.1,4924.8,35841900.0
13,23,3,6,1,0,12.34,73.2,536,7.4,3966.4,29353946.0
16,23,1,6,1,0,12.2,73.8,505,8.4,4242.0,31340248.0
17,23,3,12,1,0,12.04,74.7,622,8.2,5100.4,35841900.0
10,23,2,11,1,0,11.96,74.9,404,7.7,3110.8,23003408.0
10,20,2,8,1,0,11.92,75.2,427,7.8,3330.6,24662228.0
11,23,0,20,1,0,11.85,75.1,450,8.3,3735.0,27392700.0
12,22,1,19,12,0,11.66,75.5,706,8.8,6212.8,35841900.0
17,22,3,21,12,0,11.55,76.1,888,8.7,7725.6,35841900.0
11,23,2,9,1,0,11.6,75.1,509,7.6,3868.4,28555198.0
20,22,1,3,1,0,11.17,77.8,557,8.8,4901.6,35841900.0
19,23,0,16,1,0,10.83,78.5,572,8.5,4862.0,35841900.0
12,22,0,9,1,0,10.74,78.6,494,7.9,3902.6,28730748.0
7,20,3,13,1,0,10.57,80.3,508,8.9,4521.2,33571060.0
10,19,2,10,1,0,10.49,80.3,542,7.7,4173.4,30922396.0
21,22,2,15,1,0,10.69,81.6,436,7.8,3400.8,25009962.0
11,23,1,13,12,0,11.22,80.0,665,7.7,5120.5,35841900.0
6,23,1,22,1,0,11.36,77.9,362,8.2,2968.4,22007504.0
20,23,1,14,1,0,11.44,77.5,658,7.7,5066.6,35841900.0
22,22,2,15,1,0,11.49,76.7,690,9.2,6348.0,35841900.0
17,23,0,11,1,0,11.33,76.8,521,8.3,4324.3,31902198.0
8,20,1,7,1,0,11.16,77.3,474,8.5,4029.0,29752888.0
8,18,2,21,1,0,10.89,77.5,553,7.9,4368.7,32309098.0
16,23,2,5,1,0,10.27,80.2,462,8.9,4111.8,30463090.0
21,23,2,11,1,0,10.15,80.8,584,8.3,4847.2,35827190.0
5,19,1,3,1,0,10.0,81.6,387,7.7,2979.9,22086140.0
9,23,2,5,1,0,9.9,81.5,341,7.4,2523.4,18490820.0
5,18,0,5,1,0,9.67,81.6,375,7.8,2925.0,21600472.0
23,22,1,16,1,0,9.27,81.5,610,8.4,5124.0,35841900.0
23,23,0,11,1,0,9.03,81.8,485,7.6,3686.0,27062986.0
11,23,1,11,1,0,8.85,82.7,452,9.2,4158.4,30936276.0
13,23,3,7,1,0,8.68,83.1,605,9.1,5505.5,35841900.0
21,23,1,4,1,0,8.54,83.7,508,7.6,3860.8,28466224.0
13,22,1,7,1,0,8.38,84.9,432,8.2,3542.4,26156352.0
23,23,3,8,1,0,8.5,84.9,445,8.9,3960.5,29350906.0
8,17,3,3,1,0,8.48,85.7,376,8.8,3308.8,24760876.0
21,23,2,17,1,0,8.4,85.3,689,8.5,5856.5,35841900.0
20,23,1,10,12,0,8.51,85.5,545,7.6,4142.0,30781010.0
7,21,0,6,1,0,8.8,85.0,276,9.3,2566.8,19506864.0
14,23,1,14,12,0,9.09,84.1,512,8.1,4147.2,30748484.0
5,21,0,3,1,0,9.62,84.5,411,8.5,3493.5,25840714.0
8,17,2,5,1,0,10.89,85.9,218,8.8,1918.4,13774162.0
8,21,1,9,1,0,12.43,83.3,446,7.8,3478.8,25686958.0
20,22,0,18,1,0,13.02,77.5,678,7.4,5017.2,35841900.0
20,23,0,15,12,0,13.38,74.4,749,9.2,6890.8,35841900.0
19,23,0,9,1,0,13.64,73.2,477,9.3,4436.1,33156468.0
14,22,0,21,12,0,13.88,72.2,510,8.7,4437.0,32991120.0
17,22,3,7,1,0,14.16,72.3,552,8.5,4692.0,34830216.0
12,22,3,22,1,0,14.54,69.24,522,8.2,4280.4,31477816.0
15,23,2,20,1,0,14.75,67.1,743,7.6,5646.8,35841900.0
10,19,1,9,1,0,14.87,66.57,493,8.8,4338.4,32197640.0
13,23,3,4,1,0,15.0,65.1,451,9.3,4194.3,31290182.0
19,22,3,18,1,0,15.08,64.4,582,8.5,4947.0,35841900.0
7,18,1,9,1,0,15.18,64.23,381,7.8,2971.8,21997356.0
23,23,0,10,1,0,15.28,64.43,395,9.1,3594.5,26612456.0
16,23,2,13,1,0,15.19,63.6,508,8.4,4267.2,31450830.0
22,22,2,8,12,0,15.18,64.77,556,7.9,4392.4,32627120.0
21,22,1,8,1,0,15.21,65.33,608,7.6,4620.8,34446210.0
14,22,3,11,1,0,15.31,64.2,598,7.8,4664.4,34664110.0
6,22,1,15,7,0,15.35,63.13,389,8.9,3462.1,25855112.0
5,22,2,4,1,0,15.43,62.93,253,8.4,2125.2,15486646.0
15,22,1,12,1,0,15.39,62.9,429,7.9,3389.1,24934324.0
7,22,3,20,1,0,15.41,62.83,683,7.7,5259.1,35841900.0
16,23,2,16,1,0,15.57,62.7,470,9.2,4324.0,32100430.0
8,20,1,7,1,0,15.37,63.4,472,9.1,4295.2,31966776.0
5,17,2,4,1,0,15.49,63.46,376,7.6,2857.6,21211352.0
21,23,3,14,1,0,15.57,63.7,558,8.3,4631.4,34285844.0
