Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Temperature,Humidity,MonthlyHours,TariffRate,ElectricityBill
20,23,1,10,12,0,8.51,85.5,545,7.6,4142
7,21,0,6,1,0,8.8,85,276,9.3,2566.8
14,23,1,14,12,0,9.09,84.1,512,8.1,4147.2
5,21,0,3,1,0,9.62,84.5,411,8.5,3493.5
8,17,2,5,1,0,10.89,85.9,218,8.8,1918.4
8,21,1,9,1,0,12.43,83.3,446,7.8,3478.8
20,22,0,18,1,0,13.02,77.5,678,7.4,5017.2
20,23,0,15,12,0,13.38,74.4,749,9.2,6890.8
19,23,0,9,1,0,13.64,73.2,477,9.3,4436.1
14,22,0,21,12,0,13.88,72.2,510,8.7,4437
17,22,3,7,1,0,14.16,72.3,552,8.5,4692
12,22,3,22,1,0,14.54,69.24,522,8.2,4280.4
15,23,2,20,1,0,14.75,67.1,743,7.6,5646.8
10,19,1,9,1,0,14.87,66.57,493,8.8,4338.4
13,23,3,4,1,0,15,65.1,451,9.3,4194.3
19,22,3,18,1,0,15.08,64.4,582,8.5,4947
7,18,1,9,1,0,15.18,64.23,381,7.8,2971.8
23,23,0,10,1,0,15.28,64.43,395,9.1,3594.5
16,23,2,13,1,0,15.19,63.6,508,8.4,4267.2
22,22,2,8,12,0,15.18,64.77,556,7.9,4392.4
21,22,1,8,1,0,15.21,65.33,608,7.6,4620.8
14,22,3,11,1,0,15.31,64.2,598,7.8,4664.4
6,22,1,15,7,0,15.35,63.13,389,8.9,3462.1
5,22,2,4,1,0,15.43,62.93,253,8.4,2125.2
15,22,1,12,1,0,15.39,62.9,429,7.9,3389.1
7,22,3,20,1,0,15.41,62.83,683,7.7,5259.1
16,23,2,16,1,0,15.57,62.7,470,9.2,4324
8,20,1,7,1,0,15.37,63.4,472,9.1,4295.2
5,17,2,4,1,0,15.49,63.46,376,7.6,2857.6
21,23,3,14,1,0,15.57,63.7,558,8.3,4631.4
11,23,1,21,1,0,15.48,63.76,432,8.5,3672
8,18,0,17,1,0,15.36,64.16,294,8.8,2587.2
7,17,3,6,1,0,15.35,64.19,254,7.6,1930.4
9,18,2,12,1,0,15.41,64.1,460,7.9,3634
10,22,3,10,1,0,15.36,65.23,597,8.7,5193.9
7,19,3,8,7,0,15.44,64.86,548,7.4,4055.2
6,22,1,7,1,0,15.48,64.1,411,8.4,3452.4
12,22,2,6,1,0,15.45,64.86,523,8.5,4445.5
5,21,3,17,1,0,15.44,64.93,438,8.8,3854.4
8,18,3,8,1,0,15.34,65.3,331,7.6,2515.6
17,22,3,4,1,0,15.3,65.83,372,9.1,3385.2
23,22,2,4,1,0,15.34,66.4,478,8.5,4063
13,22,3,12,1,0,15.34,66.83,607,8.9,5402.3
9,19,0,19,1,0,15.23,67.66,323,8.8,2842.4
5,19,2,4,1,0,15.18,67.73,236,7.6,1793.6
11,23,0,3,1,0,15.09,67.66,284,8.2,2328.8
12,22,0,13,1,0,14.96,66.19,484,7.8,3775.2
11,22,0,22,1,0,14.94,64.99,641,7.8,4999.8
7,19,2,13,1,0,14.89,65.45,424,8.3,3519.2
16,22,2,8,1,0,14.85,65.55,361,7.7,2779.7
7,23,2,14,1,0,14.78,65.82,546,9.3,5077.8
10,20,3,17,1,0,14.68,67.22,524,8.9,4663.6
11,23,0,21,1,0,14.51,68.26,629,8.2,5157.8
23,22,0,19,1,0,14.32,69.56,664,7.4,4913.6
9,21,3,5,1,0,14.14,70.9,384,9.2,3532.8
15,23,3,15,12,0,13.98,72.1,587,7.7,4519.9
13,22,0,9,1,0,13.86,73,363,7.6,2758.8
23,22,2,8,1,0,13.45,73.7,396,8.3,3286.8
11,23,2,18,1,0,12.2,77.3,421,8.5,3578.5
9,18,2,14,7,0,11.85,78.2,477,9.3,4436.1
12,22,3,12,1,0,11.53,79,432,8.9,3844.8
15,23,0,12,1,0,11.25,80,529,8.8,4655.2
18,22,3,15,1,0,11.12,80.5,600,8.5,5100
12,22,3,13,1,0,10.92,81.2,494,9.1,4495.4
23,22,1,18,1,0,10.93,81.3,454,8.3,3768.2
10,20,1,12,1,0,10.69,81.5,492,8.2,4034.4
14,22,3,6,1,0,10.39,81.5,456,8.9,4058.4
23,23,3,22,1,0,10.17,83.1,655,7.4,4847
6,22,0,5,1,0,10.03,82.9,228,9.2,2097.6
23,22,1,8,1,0,9.61,83.9,474,9.3,4408.2
18,23,2,13,1,0,9.71,84.2,661,8.7,5750.7
23,23,3,11,1,0,9.62,83.4,611,7.7,4704.7
10,23,2,22,1,0,9.49,83.5,631,7.9,4984.9
5,20,1,18,1,0,9.33,83.7,532,7.4,3936.8
16,23,0,13,1,0,9.23,83.9,523,7.6,3974.8
22,23,0,22,1,0,9.14,84,741,8.7,6446.7
17,22,3,6,1,0,9.11,83.8,553,8.1,4479.3
13,23,3,20,1,0,9.07,83.8,638,7.7,4912.6
8,17,2,16,1,0,9,83.9,520,7.8,4056
21,22,0,22,1,0,9.05,84,539,7.9,4258.1
7,21,3,15,1,0,8.98,83.6,558,8.9,4966.2
6,21,1,22,7,0,8.81,83.9,598,8.2,4903.6
17,22,2,14,1,0,8.72,84,685,8.2,5617
19,22,0,13,12,0,8.51,84.3,456,7.4,3374.4
8,22,0,17,1,0,8.52,85,589,8.1,4770.9
13,22,0,9,1,0,8.6,84.4,469,9.2,4314.8
8,22,1,11,1,0,8.49,84.5,509,8.4,4275.6
21,23,3,22,1,0,8.33,84.7,590,7.7,4543
22,22,2,21,1,0,8.5,84.7,646,9.3,6007.8
17,22,3,11,1,0,8.52,83.7,535,8.4,4494
17,23,2,13,1,0,8.63,83.5,500,8.1,4050
6,18,1,22,1,0,8.69,82.8,419,8.7,3645.3
7,20,1,10,1,0,8.77,82.3,490,8.1,3969
13,22,2,15,1,0,8.36,82,627,9.2,5768.4
16,22,2,16,1,0,8.17,82.7,465,7.7,3580.5
19,22,3,6,12,0,8.13,82.4,501,7.4,3707.4
6,21,2,3,1,0,8.14,82.3,487,7.9,3847.3
23,22,3,11,1,0,8.15,82.2,503,8.4,4225.2
10,20,3,11,1,0,8.33,82.2,478,7.4,3537.2
18,22,0,6,1,0,8.36,81.4,328,7.4,2427.2
20,23,2,22,1,0,8.23,80.7,528,7.6,4012.8
19,23,2,21,1,0,8.13,81.2,660,8.3,5478
12,23,0,15,1,0,8.04,81.2,475,8.8,4180
14,22,0,11,1,0,7.87,81.8,490,8.4,4116
15,22,0,18,1,0,7.91,81.8,400,8.4,3360
17,23,1,21,12,0,7.9,81.8,722,8.3,5992.6
11,23,0,22,1,0,7.88,81.6,440,8.2,3608
10,22,2,16,1,0,7.89,81.2,613,9.3,5700.9
17,23,0,17,1,0,7.94,81.2,493,7.8,3845.4
19,22,2,9,1,0,7.84,80.5,666,8.5,5661
13,23,2,12,1,0,7.59,80.4,525,8.3,4357.5
10,21,0,5,1,0,7.44,81.1,280,7.4,2072
